         TIME   FLUID      FLUID      FLUID      ENERGY     ENERGY     ENERGY     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE     SOLUTE    
                VOL BAL    VOL BAL    VOL BAL    BALANCE    BALANCE    BALANCE    REACTION   REACTION   REACTION   BALANCE    BALANCE    BALANCE    REACTION   REACTION   REACTION   BALANCE    BALANCE    BALANCE    REACTION   REACTION   REACTION   BALANCE    BALANCE    BALANCE    REACTION   REACTION   REACTION   BALANCE    BALANCE    BALANCE    REACTION   REACTION   REACTION   BALANCE    BALANCE    BALANCE    REACTION   REACTION   REACTION   BALANCE    BALANCE    BALANCE    REACTION   REACTION   REACTION   BALANCE    BALANCE    BALANCE   
                TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE       TOTAL      TIME STEP  RATE      
                                                                                  H2O        H2O        H2O        H2O        H2O        H2O        H          H          H          H          H          H          O          O          O          O          O          O          Charge     Charge     Charge     Charge     Charge     Charge     Amm        Amm        Amm        Amm        Amm        Amm        C          C          C          C          C          C          N          N          N          N          N          N         
  8.640000E+03 -2.057E-11 -2.057E-11 -2.380E-15  1.737E-03  1.737E-03  2.011E-07  1.202E+00  1.202E+00  1.392E-04 -1.997E-07 -1.997E-07 -2.311E-11 -2.328E-08 -2.328E-08 -2.695E-12  5.361E-11  5.361E-11  6.205E-15  1.405E-05  1.405E-05  1.626E-09 -3.555E-11 -3.555E-11 -4.115E-15 -9.590E-10 -9.590E-10 -1.110E-13  1.871E-11  1.871E-11  2.166E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.341E-08  1.341E-08  1.552E-12 -2.909E-11 -2.909E-11 -3.367E-15
  1.728000E+04 -2.062E-11 -5.812E-14 -6.727E-18  1.764E-03  2.648E-05  3.065E-09  2.289E+00  1.087E+00  1.258E-04 -1.783E-07  2.137E-08  2.473E-12 -4.447E-08 -2.119E-08 -2.452E-12  7.361E-11  2.001E-11  2.315E-15  2.300E-05  8.958E-06  1.037E-09 -6.648E-11 -3.093E-11 -3.580E-15 -1.473E-09 -5.144E-10 -5.954E-14  8.109E-11  6.237E-11  7.219E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.060E-08  7.187E-09  8.318E-13 -5.818E-11 -2.908E-11 -3.366E-15
  2.592000E+04 -2.079E-11 -1.606E-13 -1.859E-17  1.797E-03  3.309E-05  3.830E-09  3.319E+00  1.030E+00  1.192E-04 -1.190E-07  5.933E-08  6.866E-12 -6.457E-08 -2.010E-08 -2.326E-12  1.279E-10  5.431E-11  6.286E-15  3.241E-05  9.408E-06  1.089E-09  5.808E-11  1.246E-10  1.442E-14 -1.528E-09 -5.464E-11 -6.324E-15  1.434E-10  6.235E-11  7.217E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.135E-08  7.478E-10  8.655E-14 -8.700E-11 -2.882E-11 -3.336E-15
  3.456000E+04 -2.122E-11 -4.340E-13 -5.023E-17  1.870E-03  7.288E-05  8.435E-09  4.306E+00  9.880E-01  1.143E-04  4.838E-08  1.674E-07  1.937E-11 -8.389E-08 -1.932E-08 -2.236E-12  1.822E-10  5.424E-11  6.278E-15  4.315E-05  1.074E-05  1.243E-09  1.593E-10  1.013E-10  1.172E-14 -1.206E-09  3.218E-10  3.725E-14  2.058E-10  6.236E-11  7.217E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.682E-08 -4.525E-09 -5.237E-13 -1.159E-10 -2.886E-11 -3.340E-15
  4.320000E+04 -2.238E-11 -1.163E-12 -1.346E-16  1.945E-03  7.494E-05  8.674E-09  5.260E+00  9.539E-01  1.104E-04  5.110E-07  4.627E-07  5.355E-11 -1.026E-07 -1.868E-08 -2.163E-12  2.364E-10  5.419E-11  6.272E-15  5.490E-05  1.174E-05  1.359E-09  2.497E-10  9.037E-11  1.046E-14 -5.780E-10  6.282E-10  7.271E-14  2.682E-10  6.236E-11  7.217E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  8.006E-09 -8.816E-09 -1.020E-12 -1.447E-10 -2.888E-11 -3.342E-15
  5.184000E+04 -2.537E-11 -2.984E-12 -3.454E-16  2.152E-03  2.075E-04  2.402E-08  6.185E+00  9.248E-01  1.070E-04  1.728E-06  1.217E-06  1.409E-10 -1.207E-07 -1.813E-08 -2.099E-12  2.905E-10  5.419E-11  6.272E-15  6.706E-05  1.216E-05  1.408E-09  3.417E-10  9.196E-11  1.064E-14  3.056E-10  8.836E-10  1.023E-13  3.305E-10  6.236E-11  7.217E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00 -4.386E-09 -1.239E-08 -1.434E-12 -2.231E-10 -7.841E-11 -9.075E-15
  6.048000E+04 -3.118E-11 -5.813E-12 -6.728E-16  2.414E-03  2.616E-04  3.028E-08  7.084E+00  8.992E-01  1.041E-04  4.716E-06  2.988E-06  3.458E-10 -1.384E-07 -1.765E-08 -2.043E-12  3.446E-10  5.406E-11  6.257E-15  9.628E-05  2.922E-05  3.382E-09  4.370E-10  9.529E-11  1.103E-14  1.398E-09  1.093E-09  1.265E-13  3.811E-10  5.056E-11  5.851E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00 -1.971E-08 -1.532E-08 -1.774E-12 -3.199E-10 -9.674E-11 -1.120E-14
  6.912000E+04 -4.709E-11 -1.591E-11 -1.842E-15  2.629E-03  2.152E-04  2.491E-08  7.961E+00  8.763E-01  1.014E-04  1.153E-05  6.817E-06  7.890E-10 -1.556E-07 -1.723E-08 -1.994E-12  3.988E-10  5.415E-11  6.267E-15  1.204E-04  2.417E-05  2.797E-09  5.102E-10  7.325E-11  8.478E-15  2.672E-09  1.274E-09  1.474E-13  4.316E-10  5.055E-11  5.851E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00 -3.756E-08 -1.785E-08 -2.066E-12 -4.165E-10 -9.665E-11 -1.119E-14
  7.776000E+04 -7.364E-11 -2.654E-11 -3.072E-15  2.898E-03  2.693E-04  3.117E-08  8.816E+00  8.556E-01  9.902E-05  2.592E-05  1.438E-05  1.665E-09 -1.724E-07 -1.684E-08 -1.949E-12  4.524E-10  5.367E-11  6.211E-15  1.411E-04  2.061E-05  2.385E-09  6.445E-10  1.343E-10  1.554E-14  4.100E-09  1.427E-09  1.652E-13  4.822E-10  5.054E-11  5.850E-15  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00 -5.757E-08 -2.001E-08 -2.316E-12 -5.131E-10 -9.654E-11 -1.117E-14
